invoice_and_item_number,date,store_number,store_name,major_category_name,city,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters
S30557200072,2016-02-03,2513,Hy-Vee Food Store #2 / Iowa City,Vodkas,IOWA CITY,34821,Svedka Vodka,6,1750,14.74,22.11,30,663.3,52.5
INV-00702000028,2016-10-04,4637,Kwik Shop #560 / Cedar Rapids,Vodkas,Cedar Rapids,34817,Svedka,12,375,4.75,7.13,5,35.65,1.88
S30821200119,2016-02-18,2663,Hy-Vee / Urbandale,Vodkas,URBANDALE,34821,Svedka Vodka,6,1750,14.74,22.11,30,663.3,52.5
S30924100027,2016-02-25,4502,Neighborhood Mart / Waterloo,Vodkas,WATERLOO,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S30982900027,2016-02-29,3784,Hartig Drug #14 / Independence,Vodkas,INDEPENDENCE,34821,Svedka Vodka,6,1750,14.74,22.11,2,44.22,3.5
S30793700016,2016-02-17,2200,Sac Liquor Store,Vodkas,SAC CITY,34821,Svedka Vodka,6,1750,14.74,22.11,2,44.22,3.5
INV-01402400011,2016-11-04,4474,Bucky's Express #34 / Council Bluffs,Vodkas,Council Bluffs,34817,Svedka,12,375,4.75,7.13,10,71.3,3.75
INV-00991700008,2016-10-17,5226,KC Brothers,Vodkas,Davenport,34817,Svedka,12,375,4.75,7.13,12,85.56,4.5
INV-01020300023,2016-10-18,5224,Keystone Liquor & Wine / Coralville,Vodkas,Coralville,34817,Svedka,12,375,4.75,7.13,12,85.56,4.5
S30977200012,2016-02-29,5198,Riverside Liquor,Vodkas,DAVENPORT,34817,Svedka,12,375,4.76,7.14,12,85.68,4.5
S30545900007,2016-02-03,3715,Kimberly Mart / Davenport,Vodkas,DAVENPORT,34817,Svedka,12,375,4.76,7.14,12,85.68,4.5
S30769900014,2016-02-18,4803,Walgreens #07453 / Des Moines,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30944400007,2016-02-25,5211,Kum & Go #129  /  Johnston,Vodkas,JOHNSTON,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30720300004,2016-02-15,5189,The Fresh Market  / W Des Moines,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30839500001,2016-02-22,4019,Wal-Mart 1506 / Manchester,Vodkas,MANCHESTER,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30964200001,2016-02-29,3563,Wal-Mart 0559 / Muscatine,Vodkas,MUSCATINE,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30564800028,2016-02-03,3926,Liquor Downtown / Iowa City,Vodkas,IOWA CITY,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30547800002,2016-02-08,4800,Walgreens #07968 / Des Moines,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30585300028,2016-02-10,3524,Sam's Club 6568 / Ames,Vodkas,AMES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30492300096,2016-02-01,2512,Hy-Vee Wine and Spirits / Iowa City,Vodkas,IOWA CITY,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30892300017,2016-02-23,3666,Target Store T-1771 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30585100026,2016-02-09,3477,Sam's Club 6472 / Council Bluffs,Vodkas,COUNCIL BLUFFS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30682500017,2016-02-11,3528,Super Target T-0804 Mason City,Vodkas,MASON CITY,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30856100030,2016-02-22,4794,Smokin' Joe's #17 Tobacco and Liquor,Vodkas,BURLINGTON,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30535700001,2016-02-03,3721,Wal-Mart 0913 / Decorah,Vodkas,DECORAH,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30802300051,2016-02-17,4057,Tequila's Liquor Store,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30894600017,2016-02-25,4801,Walgreens #05852 / Des Moines,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30560000078,2016-02-03,3869,Bootleggin' Barzini's Fin,Vodkas,CORALVILLE,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30983800064,2016-02-29,2647,Hy-Vee #7 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30758800010,2016-02-16,4727,Walgreens #07996 / Ankeny,Vodkas,ANKENY,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30563100001,2016-02-04,3769,Wal-Mart 0753 / Cedar Fall,Vodkas,CEDAR FALLS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30880300021,2016-02-23,5126,Price Chopper  /  Merle Hay,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30691000018,2016-02-11,4988,Happy's Wine & Spirits,Vodkas,CEDAR FALLS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30986500037,2016-02-29,3838,Schnucks / Bettendorf,Vodkas,BETTENDORF,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30517200060,2016-02-02,2620,Hy-Vee / Windsor Heights,Vodkas,WINDSOR HEIGHTS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30872300008,2016-02-22,2535,Hy-Vee Food Store #1 / WDM,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30741900003,2016-02-15,3871,Target Store T-0069 / WDM,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30479700001,2016-02-01,3868,Wal-Mart 3630 / Marion,Vodkas,MARION,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
