"project","article","access","agent","granularity","date","en_views","id_views"
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-01,939,711
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-02,974,640
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-03,616,604
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-04,569,576
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-05,651,581
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-06,899,652
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-07,793,620
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-08,786,688
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-09,745,741
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-10,745,611
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-11,639,552
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-12,655,550
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-13,701,573
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-14,712,693
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-15,805,592
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-16,980,515
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-17,731,471
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-18,511,488
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-19,615,577
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-20,699,501
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-21,638,543
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-22,704,622
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-23,1163,651
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-24,1034,588
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-25,754,619
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-26,658,635
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-27,973,638
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-28,1072,639
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-29,813,705
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-30,821,596
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-07-31,874,660
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-08-01,664,592
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-08-02,701,678
